year,division,status,project,project_raw,total,state_gf,gifts,debt,other_funds
2021,Academic Division,Under Construction,Alderman Library Renewal,Alderman LibraryRenewal,152.5,132.5,20.0,,
2021,Academic Division,In Planning/Design,Athletics Complex Phase III*(Football Operations Center),Athletics Complex Phase III*(Football Operations Center),70.0,,70.0,,
2021,Academic Division,In Planning/Design,Batten School Academic Building,Batten School Academic Building,60.0,,60.0,,
2021,Academic Division,Under Construction,Brandon Avenue Upper-Class Residence Hall Phase II,Brandon Avenue Upper-Class Residence Hall Phase II,114.0,,,89.5,24.5
2021,Academic Division,In Planning/Design,Center for Politics,Center for Politics,14.0,,14.0,,
2021,Academic Division,In Planning/Design,Center for the Arts(planning),Center for the Arts(planning),16.0,,16.0,,
2021,Academic Division,In Planning/Design,Chemistry Building Addition Fume Exhaust Renewal,ChemistryBuildingAddition Fume Exhaust Renewal,8.5,,,,8.5
2021,Academic Division,Under Construction,Contemplative Commons,Contemplative Commons,69.0,,49.0,15.0,5.0
2021,Academic Division,In Planning/Design,Darden Academic Building,Darden Academic Building,85.0,,85.0,,
2021,Academic Division,In Planning/Design,Environmental Health & Safety Facility,Environmental Health & SafetyFacility,28.0,,,28.0,
2021,Academic Division,In Planning/Design,Fontaine Research Park Central Energy Plant & Utilities,Fontaine Research Park Central EnergyPlant & Utilities,35.0,,,35.0,
2021,Academic Division,In Planning/Design,Fontaine Research Park Infrastructure & Parking Garage,Fontaine Research Park Infrastructure & ParkingGarage,87.0,,,87.0,
2021,Academic Division,Under Construction,Gilmer Hall and Chemistry Building Renovation,Gilmer Hall and ChemistryBuildingRenovation,197.03,146.7,,42.53,7.8
2021,Academic Division,Under Construction,Inn at Darden,Inn at Darden,135.0,,30.0,91.5,13.5
2021,Academic Division,In Planning/Design,Interdisciplinary Research Buildings - 2030 Strategic Plan<br>(planning),Interdisciplinary Research Buildings - 2030 Strategic Plan<br>(planning),1.0,,,,1.0
2021,Academic Division,Under Construction,Ivy Corridor Landscape and Infrastructure Phase I,IvyCorridor Landscape and Infrastructure Phase I,60.0,,,56.0,4.0
2021,Academic Division,In Planning/Design,Karsh Institute of Democracy*,Karsh Institute of Democracy*,80.0,,80.0,,
2021,Academic Division,Under Construction,Lambeth Field Apartments HVAC Improvements,Lambeth Field Apartments HVAC Improvements,14.5,,,14.5,
2021,Academic Division,Under Construction,Low Temperature Hot Water Conversion,Low Temperature Hot Water Conversion,35.0,,,34.5,0.5
2021,Academic Division,Under Construction,Massie Road Utility Extension,Massie Road UtilityExtension,11.0,,,6.0,5.0
2021,Academic Division,In Planning/Design,Mc Intire Academic Facility (Shumway Hall),McIntire Academic Facility (ShumwayHall),101.0,,7.5,93.5,
2021,Academic Division,In Planning/Design,Old Cabell Hall Renewal,Old Cabell Hall Renewal,60.0,60.0,,,
2021,Academic Division,In Planning/Design,Physics Building Renewal,Physics BuildingRenewal,58.2,58.2,,,
2021,Academic Division,In Planning/Design,Pinn Hall Renovation Phase II,Pinn Hall Renovation Phase II,38.0,,,38.0,
2021,Academic Division,Under Construction,School of Data Science,School of Data Science,53.5,,5.5,48.0,
2021,Academic Division,Under Construction,Smith Hall Renovation(Darden),Smith Hall Renovation(Darden),14.0,,7.2,6.8,
2021,Academic Division,In Planning/Design,Student Activities Building,Student Activities Building,17.0,,,17.0,
2021,Academic Division,In Planning/Design,Tech Talent Investment Program Phase I,Tech Talent Investment Program Phase I,3.0,3.0,,,
2021,Academic Division,In Planning/Design,UVA Hotel & Conference Center,UVA Hotel & Conference Center,133.5,,3.0,110.5,20.0
2021,Academic Division,In Planning/Design,UVA Museum(planning),UVA Museum(planning),3.0,,3.0,,
2021,Academic Division,Under Construction,West Grounds Chilled Water Capacity,West Grounds Chilled Water Capacity,8.0,,,8.0,
