project_id,year,phase,link,division,status,project,total,state_gf,gifts,debt,other_funds
Alderman Library Renewal,2021,full,single-name,Academic Division,Under Construction,Alderman Library Renewal,152.5,132.5,20,,
Alderman Library Renewal,2022,full,single-name,Academic Division,Under Construction,Alderman Library Renewal,163.9,143.9,20,,
Alderman Library Renewal,2023,full,single-name,Academic Division,Under Construction,Alderman Library Renewal,163.9,143.9,20,,
Athletic Building,2021,full,single-name,College at Wise,In Planning/Design,Athletic Building,24.7,,24.7,,
Athletic Building,2022,full,single-name,College at Wise,Not Yet Initiated,Athletic Building,24.7,,24.7,,
Athletic Building,2023,full,single-name,College at Wise,In Planning/Design,Athletic Building,24.7,,24.7,,
Athletic Building,2024,full,single-name,College at Wise,Not Yet Initiated,Athletic Building,24.7,,24.7,,
Athletics Multipurpose Practice Field,2026,full,single-name,Academic Division,In Planning/Design,Athletics Multipurpose Practice Field,13,,13,,
Athletics Training Grounds Conversion,2024,planning,single-name,Academic Division,Not Yet Initiated,Athletics Training Grounds Conversion (planning/design),1,,1,,
Batten School Academic Building,2021,full,single-name,Academic Division,In Planning/Design,Batten School Academic Building,60,,60,,
Bowers-Sturgill Hall Renovation,2021,full,single-name,College at Wise,In Planning/Design,Bowers-Sturgill Hall Renovation,5.9,5.9,,,
Bowers-Sturgill Hall Renovation,2022,full,single-name,College at Wise,Not Yet Initiated,Bowers-Sturgill Hall Renovation,5.9,5.9,,,
Bowers-Sturgill Hall Renovation,2023,full,single-name,College at Wise,In Planning/Design,Bowers-Sturgill Hall Renovation,5.9,5.9,,,
Bowers-Sturgill Hall Renovation,2024,full,single-name,College at Wise,Not Yet Initiated,Bowers-Sturgill Hall Renovation,5.9,5.9,,,
Bowers-Sturgill Hall Renovation,2025,full,single-name,College at Wise,Not Yet Initiated,Bowers-Sturgill Hall Renovation,13.6,13.6,,,
Bowers-Sturgill Hall Renovation,2026,full,single-name,College at Wise,Pending Future Funding,Bowers-Sturgill Hall Renovation,13.6,13.6,,,
Brandon Avenue Upper-Class Residence Hall,2021,full,fuzzy,Academic Division,Under Construction,Brandon Avenue Upper-Class Residence Hall Phase II,114,,,89.5,24.5
Brandon Avenue Upper-Class Residence Hall,2022,full,fuzzy,Academic Division,Under Construction,Brandon Avenue Upper-Class Residence Hall,114,,,63.02,50.98
Campus Welcome Center/Public Safety Facility,2021,full,fuzzy,College at Wise,In Planning/Design,Campus Welcome Center/Public Safety Facility,5.6,5.6,,,
Campus Welcome Center/Public Safety Facility,2022,full,fuzzy,College at Wise,Not Yet Initiated,Campus Welcome/Public Safety Facility,5.6,5.6,,,
Campus Welcome Center/Public Safety Facility,2023,full,fuzzy,College at Wise,In Planning/Design,Campus Welcome Center/Public Safety Facility,5.6,5.6,,,
Campus Welcome Center/Public Safety Facility,2024,full,fuzzy,College at Wise,Not Yet Initiated,Campus Welcome Center/Public Safety Facility,5.6,5.6,,,
Campus Welcome Center/Public Safety Facility,2025,full,fuzzy,College at Wise,Not Yet Initiated,Campus Welcome Center/Public Safety Facility,5.8,5.8,,,
Campus Welcome Center/Public Safety Facility,2026,full,fuzzy,College at Wise,Pending Future Funding,Campus Welcome Center/Public Safety Facility,5.8,5.8,,,
